Country or Area,Commodity - Transaction,Year,Unit,Quantity,Quantity Footnotes
Netherlands,Biodiesel - Production,2012,"Metric tons,  thousand",1177,
Netherlands,Biodiesel - Production,2011,"Metric tons,  thousand",491,
Netherlands,Biodiesel - Production,2010,"Metric tons,  thousand",382,
Netherlands,Biodiesel - Production,2009,"Metric tons,  thousand",274,
Netherlands,Biodiesel - Production,2008,"Metric tons,  thousand",83,
Netherlands,Biodiesel - Production,2007,"Metric tons,  thousand",85,
Netherlands,Biodiesel - Production,2006,"Metric tons,  thousand",18,
Norway,Biodiesel - Production,2020,"Metric tons,  thousand",85.588,
Norway,Biodiesel - Production,2019,"Metric tons,  thousand",86.277,
Norway,Biodiesel - Production,2018,"Metric tons,  thousand",101.445,
Norway,Biodiesel - Production,2017,"Metric tons,  thousand",113,
Norway,Biodiesel - Production,2016,"Metric tons,  thousand",60,
Norway,Biodiesel - Production,2011,"Metric tons,  thousand",91,
Poland,Biodiesel - Production,2020,"Metric tons,  thousand",952.818,
Poland,Biodiesel - Production,2019,"Metric tons,  thousand",960.363,
Poland,Biodiesel - Production,2018,"Metric tons,  thousand",886.669,
Poland,Biodiesel - Production,2017,"Metric tons,  thousand",897.169,
Poland,Biodiesel - Production,2016,"Metric tons,  thousand",898,
Poland,Biodiesel - Production,2015,"Metric tons,  thousand",787,
Poland,Biodiesel - Production,2014,"Metric tons,  thousand",739,
Poland,Biodiesel - Production,2013,"Metric tons,  thousand",642,
Poland,Biodiesel - Production,2012,"Metric tons,  thousand",605,
Poland,Biodiesel - Production,2011,"Metric tons,  thousand",363,
Poland,Biodiesel - Production,2010,"Metric tons,  thousand",380,
Poland,Biodiesel - Production,2009,"Metric tons,  thousand",364,
Poland,Biodiesel - Production,2008,"Metric tons,  thousand",264,
Poland,Biodiesel - Production,2007,"Metric tons,  thousand",47,
Poland,Biodiesel - Production,2006,"Metric tons,  thousand",89,
Poland,Biodiesel - Production,2005,"Metric tons,  thousand",64,
Spain,Biodiesel - Production,2020,"Metric tons,  thousand",1856.786,
Spain,Biodiesel - Production,2019,"Metric tons,  thousand",1985.473,
Spain,Biodiesel - Production,2018,"Metric tons,  thousand",1718.817,
Spain,Biodiesel - Production,2017,"Metric tons,  thousand",1762,
Spain,Biodiesel - Production,2016,"Metric tons,  thousand",1360,
Spain,Biodiesel - Production,2015,"Metric tons,  thousand",1113,
Spain,Biodiesel - Production,2014,"Metric tons,  thousand",1212,
Spain,Biodiesel - Production,2013,"Metric tons,  thousand",720,
Spain,Biodiesel - Production,2012,"Metric tons,  thousand",496,
Spain,Biodiesel - Production,2011,"Metric tons,  thousand",679,
Spain,Biodiesel - Production,2010,"Metric tons,  thousand",841,
Spain,Biodiesel - Production,2009,"Metric tons,  thousand",727,
Spain,Biodiesel - Production,2008,"Metric tons,  thousand",221,
Spain,Biodiesel - Production,2007,"Metric tons,  thousand",180,
Spain,Biodiesel - Production,2006,"Metric tons,  thousand",63,
Spain,Biodiesel - Production,2005,"Metric tons,  thousand",162,
Spain,Biodiesel - Production,2004,"Metric tons,  thousand",113,
Spain,Biodiesel - Production,2003,"Metric tons,  thousand",103,
Spain,Biodiesel - Production,2002,"Metric tons,  thousand",75,
Spain,Biodiesel - Production,2001,"Metric tons,  thousand",80,
Spain,Biodiesel - Production,2000,"Metric tons,  thousand",80,
Sweden,Biodiesel - Production,2020,"Metric tons,  thousand",312,
Sweden,Biodiesel - Production,2019,"Metric tons,  thousand",322,
Sweden,Biodiesel - Production,2018,"Metric tons,  thousand",258,
Sweden,Biodiesel - Production,2017,"Metric tons,  thousand",66,
Sweden,Biodiesel - Production,2016,"Metric tons,  thousand",109,
Sweden,Biodiesel - Production,2015,"Metric tons,  thousand",139,
Sweden,Biodiesel - Production,2014,"Metric tons,  thousand",157,
Sweden,Biodiesel - Production,2013,"Metric tons,  thousand",130,
Sweden,Biodiesel - Production,2012,"Metric tons,  thousand",127,
Sweden,Biodiesel - Production,2011,"Metric tons,  thousand",112,
Sweden,Biodiesel - Production,2010,"Metric tons,  thousand",124,
Sweden,Biodiesel - Production,2009,"Metric tons,  thousand",113,
Sweden,Biodiesel - Production,2008,"Metric tons,  thousand",110,
Sweden,Biodiesel - Production,2007,"Metric tons,  thousand",20,
Sweden,Biodiesel - Production,2006,"Metric tons,  thousand",12,
Sweden,Biodiesel - Production,2005,"Metric tons,  thousand",8,
Sweden,Biodiesel - Production,2004,"Metric tons,  thousand",8,
Sweden,Biodiesel - Production,2003,"Metric tons,  thousand",4,
Sweden,Biodiesel - Production,2002,"Metric tons,  thousand",3,
Sweden,Biodiesel - Production,2001,"Metric tons,  thousand",3,
Switzerland,Biodiesel - Production,2020,"Metric tons,  thousand",13.34,
Switzerland,Biodiesel - Production,2019,"Metric tons,  thousand",13.608,
Switzerland,Biodiesel - Production,2018,"Metric tons,  thousand",6.014,
Switzerland,Biodiesel - Production,2017,"Metric tons,  thousand",7.554,
Switzerland,Biodiesel - Production,2016,"Metric tons,  thousand",7,
Switzerland,Biodiesel - Production,2015,"Metric tons,  thousand",6,
Switzerland,Biodiesel - Production,2014,"Metric tons,  thousand",5,
Switzerland,Biodiesel - Production,2013,"Metric tons,  thousand",5,
Switzerland,Biodiesel - Production,2012,"Metric tons,  thousand",7,
Switzerland,Biodiesel - Production,2011,"Metric tons,  thousand",6,
Switzerland,Biodiesel - Production,2010,"Metric tons,  thousand",7,
Switzerland,Biodiesel - Production,2009,"Metric tons,  thousand",6,
Switzerland,Biodiesel - Production,2008,"Metric tons,  thousand",11,
Switzerland,Biodiesel - Production,2007,"Metric tons,  thousand",11,
Switzerland,Biodiesel - Production,2006,"Metric tons,  thousand",8,
Switzerland,Biodiesel - Production,2005,"Metric tons,  thousand",7,
